Id,Semilla,Envios,Ganancia,Experimento,PCA
1,1,9500,57867,1,Sin PCA
2,1,10000,58507,1,Sin PCA
3,1,10500,57757,1,Sin PCA
4,1,11000,57947,1,Sin PCA
5,1,11500,56877,1,Sin PCA
6,2,9500,56157,1,Sin PCA
7,2,10000,57177,1,Sin PCA
8,2,10500,57267,1,Sin PCA
9,2,11000,57047,1,Sin PCA
10,2,11500,56497,1,Sin PCA
11,3,9500,55957,1,Sin PCA
12,3,10000,55807,1,Sin PCA
13,3,10500,56367,1,Sin PCA
14,3,11000,56997,1,Sin PCA
15,3,11500,56617,1,Sin PCA
16,4,9500,55187,1,Sin PCA
17,4,10000,55327,1,Sin PCA
18,4,10500,55057,1,Sin PCA
19,4,11000,53987,1,Sin PCA
20,4,11500,54597,1,Sin PCA
21,5,9500,54717,1,Sin PCA
22,5,10000,55697,1,Sin PCA
23,5,10500,56657,1,Sin PCA
24,5,11000,59117,1,Sin PCA
25,5,11500,57697,1,Sin PCA
26,1,9500,44688,1,Con PCA
27,1,10000,44488,1,Con PCA
28,1,10500,45818,1,Con PCA
29,1,11000,44538,1,Con PCA
30,1,11500,45728,1,Con PCA
31,2,9500,43438,1,Con PCA
32,2,10000,43918,1,Con PCA
33,2,10500,43628,1,Con PCA
34,2,11000,43598,1,Con PCA
35,2,11500,43738,1,Con PCA
36,3,9500,47158,1,Con PCA
37,3,10000,47577,1,Con PCA
38,3,10500,47727,1,Con PCA
39,3,11000,46968,1,Con PCA
40,3,11500,47887,1,Con PCA
41,4,9500,45788,1,Con PCA
42,4,10000,47118,1,Con PCA
43,4,10500,46118,1,Con PCA
44,4,11000,46548,1,Con PCA
45,4,11500,46558,1,Con PCA
46,5,9500,44308,1,Con PCA
47,5,10000,45568,1,Con PCA
48,5,10500,46318,1,Con PCA
49,5,11000,45948,1,Con PCA
50,5,11500,46458,1,Con PCA
51,1,9500,54307,2,Sin PCA
52,1,10000,55067,2,Sin PCA
53,1,10500,54457,2,Sin PCA
54,1,11000,54507,2,Sin PCA
55,1,11500,54707,2,Sin PCA
56,2,9500,55097,2,Sin PCA
57,2,10000,55747,2,Sin PCA
58,2,10500,54917,2,Sin PCA
59,2,11000,56677,2,Sin PCA
60,2,11500,55937,2,Sin PCA
61,3,9500,54347,2,Sin PCA
62,3,10000,55257,2,Sin PCA
63,3,10500,56147,2,Sin PCA
64,3,11000,57287,2,Sin PCA
65,3,11500,57397,2,Sin PCA
66,4,9500,55797,2,Sin PCA
67,4,10000,55147,2,Sin PCA
68,4,10500,56047,2,Sin PCA
69,4,11000,55837,2,Sin PCA
70,4,11500,55887,2,Sin PCA
71,5,9500,55507,2,Sin PCA
72,5,10000,55707,2,Sin PCA
73,5,10500,55557,2,Sin PCA
74,5,11000,55557,2,Sin PCA
75,5,11500,55657,2,Sin PCA
76,1,9500,48727,2,Con PCA
77,1,10000,48527,2,Con PCA
78,1,10500,49667,2,Con PCA
79,1,11000,48477,2,Con PCA
80,1,11500,47637,2,Con PCA
81,2,9500,45998,2,Con PCA
82,2,10000,47707,2,Con PCA
83,2,10500,48477,2,Con PCA
84,2,11000,48847,2,Con PCA
85,2,11500,48817,2,Con PCA
86,3,9500,46989,2,Con PCA
87,3,10000,47068,2,Con PCA
88,3,10500,47667,2,Con PCA
89,3,11000,47197,2,Con PCA
90,3,11500,47677,2,Con PCA
91,4,9500,44398,2,Con PCA
92,4,10000,45498,2,Con PCA
93,4,10500,45628,2,Con PCA
94,4,11000,46638,2,Con PCA
95,4,11500,47337,2,Con PCA
96,5,9500,46058,2,Con PCA
97,5,10000,46968,2,Con PCA
98,5,10500,46988,2,Con PCA
99,5,11000,47577,2,Con PCA
100,5,11500,49317,2,Con PCA
101,1,9500,58497,3,Sin PCA
102,1,10000,59117,3,Sin PCA
103,1,10500,59197,3,Sin PCA
104,1,11000,58567,3,Sin PCA
105,1,11500,59237,3,Sin PCA
106,2,9500,57737,3,Sin PCA
107,2,10000,58637,3,Sin PCA
108,2,10500,59277,3,Sin PCA
109,2,11000,59357,3,Sin PCA
110,2,11500,58557,3,Sin PCA
111,3,9500,58277,3,Sin PCA
112,3,10000,60007,3,Sin PCA
113,3,10500,61717,3,Sin PCA
114,3,11000,62657,3,Sin PCA
115,3,11500,62007,3,Sin PCA
116,4,9500,55817,3,Sin PCA
117,4,10000,56897,3,Sin PCA
118,4,10500,57427,3,Sin PCA
119,4,11000,58327,3,Sin PCA
120,4,11500,60777,3,Sin PCA
121,5,9500,57347,3,Sin PCA
122,5,10000,58337,3,Sin PCA
123,5,10500,59147,3,Sin PCA
124,5,11000,60617,3,Sin PCA
125,5,11500,61637,3,Sin PCA
126,1,9500,51437,3,Con PCA
127,1,10000,51117,3,Con PCA
128,1,10500,50717,3,Con PCA
129,1,11000,51677,3,Con PCA
130,1,11500,50187,3,Con PCA
131,2,9500,51337,3,Con PCA
132,2,10000,51577,3,Con PCA
133,2,10500,51337,3,Con PCA
134,2,11000,50837,3,Con PCA
135,2,11500,50567,3,Con PCA
136,3,9500,50967,3,Con PCA
137,3,10000,51407,3,Con PCA
138,3,10500,51117,3,Con PCA
139,3,11000,50197,3,Con PCA
140,3,11500,49037,3,Con PCA
141,4,9500,49297,3,Con PCA
142,4,10000,48247,3,Con PCA
143,4,10500,49907,3,Con PCA
144,4,11000,50367,3,Con PCA
145,4,11500,50907,3,Con PCA
146,5,9500,49647,3,Con PCA
147,5,10000,49997,3,Con PCA
148,5,10500,50447,3,Con PCA
149,5,11000,51407,3,Con PCA
150,5,11500,52227,3,Con PCA